"","ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","IPAddress","Status","StartDate","EndDate","Finished","workerId","assignmentId","hitId","Q2_1","Q6","Q4","Q18_1","Q18_2","Q18_3","Q18_4","inst_moral","Q17_1","Q17_2","Q17_3","Q17_4","Earthquake","Tornado","Fastfood","Marine","Police","Mugging","Crushed","Dysentery","Cancer","Drunk","Football","Check_trial","Heater","Theft","Heroin","Flattire","Scratched","Dark","BrokenInto","Corruption","Rape","trial_t_1.1.","trial_t_2.1.","trial_t_3.1.","trial_t_4.1.","trial_t_1.2.","trial_t_2.2.","trial_t_3.2.","trial_t_4.2.","trial_t_1.3.","trial_t_2.3.","trial_t_3.3.","trial_t_4.3.","trial_t_1.4.","trial_t_2.4.","trial_t_3.4.","trial_t_4.4.","trial_t_1.5.","trial_t_2.5.","trial_t_3.5.","trial_t_4.5.","trial_t_1.6.","trial_t_2.6.","trial_t_3.6.","trial_t_4.6.","trial_t_1.7.","trial_t_2.7.","trial_t_3.7.","trial_t_4.7.","trial_t_1.8.","trial_t_2.8.","trial_t_3.8.","trial_t_4.8.","trial_t_1.9.","trial_t_2.9.","trial_t_3.9.","trial_t_4.9.","trial_t_1.10.","trial_t_2.10.","trial_t_3.10.","trial_t_4.10.","trial_t_1.11.","trial_t_2.11.","trial_t_3.11.","trial_t_4.11.","trial_t_1.23.","trial_t_2.23.","trial_t_3.23.","trial_t_4.23.","trial_t_1.25.","trial_t_2.25.","trial_t_3.25.","trial_t_4.25.","trial_t_1.26.","trial_t_2.26.","trial_t_3.26.","trial_t_4.26.","trial_t_1.28.","trial_t_2.28.","trial_t_3.28.","trial_t_4.28.","trial_t_1.30.","trial_t_2.30.","trial_t_3.30.","trial_t_4.30.","trial_t_1.31.","trial_t_2.31.","trial_t_3.31.","trial_t_4.31.","trial_t_1.32.","trial_t_2.32.","trial_t_3.32.","trial_t_4.32.","trial_t_1.33.","trial_t_2.33.","trial_t_3.33.","trial_t_4.33.","trial_t_1.34.","trial_t_2.34.","trial_t_3.34.","trial_t_4.34.","trial_t_1.35.","trial_t_2.35.","trial_t_3.35.","trial_t_4.35.","Q19","why","thoughts","Q8","sex","age","attn","Q25","LocationLatitude","LocationLongitude","LocationAccuracy"
"1","R_1K2SP3IyLbtpTpi","Default Response Set","Anonymous",NA,NA,"650b30154cd11d1d",1,"3/21/18 8:10","3/21/18 8:19",1,"7ec814c61dce5e60",NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.465,0,0,0,2.677,0,0,0,72.329,0,0,0,1.222,0,1.045,1.045,2.098,1,0,0,1.137,0,0,0,2.527,0,0,0,1.64,0,0,0,1.71,0,0,0,1.103,0,0,0,1.423,0,0,0,1.087,0,0,0,1.814,0,0,0,12.798,0,0,0,1.362,0,6.085,6.085,11.083,1,0,0,1.486,0,0,0,0.764,0,0,0,1.722,0,1.047,2.11,2.734,2,0,0,0.737,0,1,"","",1,NA,NA,NA,1,33.45,-112.07,-1
"2","R_2TGCxnPsfr2n4Zx","Default Response Set","Anonymous",NA,NA,"650b30154cd11d1d",1,"3/21/18 14:14","3/21/18 14:18",1,"7ec814c61dce5e60",NA,NA,NA,1,1,0,0,3.898,0,1,6.334,6.334,6.667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8.897,0,3.429,3.429,3.681,1,0,0,13.321,0,0,0,13.266,0,0,0,8.794,0,0,0,17.639,0,2.415,2.415,8.209,1,6.387,7.933,11.093,2,0,0,3.165,0,0,0,5.508,0,0,0,4.984,0,0,0,6.593,0,0,0,14.127,0,0,0,8.058,0,0,0,4.21,0,0,0,6.409,0,0,0,3.283,0,0,0,5.11,0,0,0,15.169,0,0,0,12.82,0,0,0,3.601,0,1,"","",1,NA,NA,NA,1,33.41,-111.91,-1
"3","R_UmX4jEUsB7oA3Yd","Default Response Set","Anonymous",NA,NA,"650b30154cd11d1d",1,"3/21/18 15:00","3/21/18 15:16",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,5.595,0,1,0,0,17.541,0,1,1,1,2,1,2,2,1,5,1,1,5,4,5,4,4,5,5,3,1,5,2.604,2.604,3.581,1,56.791,59.622,60.508,4,8.611,8.611,9.42,1,1.255,4.887,5.789,2,5.731,5.731,6.96,1,2.914,2.914,3.775,1,2.345,3.627,4.962,3,2.56,2.56,3.367,1,8.746,50.823,51.505,2,10.095,10.095,11.247,1,2.91,4.254,4.58,2,3.199,3.8,11.024,2,3.827,5.772,6.398,2,4.369,4.369,4.986,1,7.812,7.812,9.081,1,9.615,9.615,10.966,1,3.075,3.075,3.982,1,6.144,7.065,7.399,3,5.135,5.135,8.642,1,3.609,3.609,4.777,1,1.601,2.335,3.128,2,1,"experimenter","experimenter",1,1,99,0,1,37.42,-122.17,-1
"4","R_1hKcByQzAYojEsB","Default Response Set","Anonymous",NA,NA,"ce34ab188f62a7ad",0,"3/22/18 10:09","3/22/18 10:10",1,"7ec814c61dce5e60",NA,NA,1,1,1,0.318,0.318,16.504,1,1,5.786,5.786,5.939,1,4,4,2,3,1,2,4,1,4,4,1,3,3,1,3,1,4,4,2,1,2,0.109,0.109,0.551,1,0.138,0.138,0.946,1,0.101,0.101,0.536,1,0.104,0.104,0.497,1,0.067,0.067,0.668,1,0.303,0.895,1.065,3,0.16,0.16,0.473,1,1.674,1.674,2.187,1,0.081,0.081,0.514,1,0.157,0.476,0.694,2,0.025,0.025,0.507,1,0.153,0.553,0.729,2,0.203,0.203,0.621,1,0.075,0.075,0.533,1,0.05,0.05,0.436,1,0.056,0.056,0.489,1,3.353,4.144,4.449,3,0.383,0.383,0.84,1,0.036,0.036,0.573,1,0.117,0.117,0.496,1,0.071,0.071,0.513,1,1,"I just went with my honesty.","na",1,2,22,1,1,34.1,-117.97,-1
"5","R_4YPzhXTOO6EYPxT","Default Response Set","Anonymous",NA,NA,"cade26f41905e8b1",0,"3/22/18 10:09","3/22/18 10:11",1,"7ec814c61dce5e60",NA,NA,1,1,1,0.325,0.325,7.213,1,1,0,0,15.93,0,3,3,2,3,3,3,1,3,3,4,3,3,3,3,3,3,3,2,3,3,3,0.285,0.285,0.851,1,0.286,0.286,0.835,1,0.212,0.9,1.35,2,0.591,0.591,1.181,1,0.447,0.447,1.161,1,0.318,0.318,0.797,1,2.385,6.177,7.209,2,0.923,0.923,1.465,1,0.243,1.131,1.421,3,0.193,0.193,0.876,1,0.458,0.458,1.023,1,0.384,0.384,0.913,1,0.372,0.372,0.881,1,0.396,0.973,1.496,2,0.263,0.263,0.779,1,0.47,0.47,1.293,1,0.22,0.86,1.337,2,0.216,0.727,1.027,2,0.391,0.951,1.227,2,0.371,0.836,1.19,2,0.308,0.308,0.847,1,1,"Most dealt with experience and information based that I have received in the news.","n/a",1,1,30,0,1,35.21,-80.86,-1
"6","R_3EzNngP6yKChjNL","Default Response Set","Anonymous",NA,NA,"37177e745e4d2f8f",0,"3/22/18 10:09","3/22/18 10:12",1,"7ec814c61dce5e60",NA,NA,1,1,1,2.679,3.319,3.798,4,1,1.059,5.811,6.338,14,1,3,2,1,1,2,2,1,5,2,1,5,5,4,5,5,5,4,5,5,5,2.243,2.243,2.912,1,2.988,4.485,4.835,3,0.905,4.209,4.722,11,3.48,5,6.576,3,0.605,5.926,6.725,19,2.942,2.942,4.125,1,2.433,2.433,3.897,1,2.196,2.7,3.301,2,1.847,2.133,3.015,2,3.097,3.097,4.129,1,2.184,4.503,4.719,7,3.415,4.439,4.728,2,2.959,2.959,3.601,1,0.745,6.416,7.032,17,2.056,2.576,2.777,2,5.479,5.479,6.038,1,0.644,3.283,3.553,6,2.642,3.514,4.001,2,2.634,2.634,3.401,1,0.872,4.465,5.24,12,2.207,2.207,2.815,1,1,"I based my answers on my own experiences reading news reports and such.","No comments.",1,1,27,1,1,35.06,-106.48,-1
"7","R_cM7oyqDFgxzvhap","Default Response Set","Anonymous",NA,NA,"eb0e0fd091dec00c",0,"3/22/18 10:09","3/22/18 10:12",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,12.163,0,1,0,0,5.558,0,2,1,1,1,1,1,1,1,5,1,1,5,5,4,5,5,5,5,5,5,5,1.366,3.653,4.435,2,8.178,8.459,9.247,2,2.9,2.9,3.572,1,2.568,2.568,3.263,1,2.755,3.396,3.995,2,1.951,1.951,2.673,1,7.854,7.854,9.097,1,13.388,13.388,14.037,1,2.226,2.226,3.096,1,3.177,3.177,3.926,1,2.453,5.072,5.757,2,3.039,3.039,3.761,1,3.654,3.93,4.432,2,6.678,7.16,8.557,2,1.789,1.789,2.221,1,8.288,8.288,8.87,1,2.908,2.908,3.434,1,1.066,1.066,2.379,1,1.717,1.717,2.666,1,4.971,5.711,6.694,2,1.772,1.772,2.499,1,1,"From general knowledge. Such as, Detroit is very dangerous thus I would say it is more likely to be assaulted or robbed in Detroit than in Denver.","No",1,2,26,1,1,33.88,-117.96,-1
"8","R_2xUZTPAQegWAXRu","Default Response Set","Anonymous",NA,NA,"e25cbf4e67f1e1d2",0,"3/22/18 10:09","3/22/18 10:13",1,"7ec814c61dce5e60",NA,NA,1,1,1,0.919,4.126,4.182,2,1,5.997,5.997,6.161,1,3,1,3,1,3,3,2,3,3,3,5,5,3,3,1,2,5,1,4,2,5,0,0,1.184,0,18.019,18.019,19.376,1,0,0,0.512,0,60.908,60.908,61.097,1,0,0,1.195,0,0,0,1.578,0,0,0,0.603,0,0,0,2.772,0,2.351,2.351,2.5,1,0,0,0.869,0,0,0,2.771,0,0,0,8.854,0,0,0,1.173,0,84.492,84.492,85.407,1,0,0,2.755,0,0,0,1.582,0,0,0,2.597,0,0,0,1.827,0,0,0,0.805,0,0,0,1.11,0,8.54,8.54,8.907,1,1,"NOne","no",1,1,26,1,1,31.15,-85.41,-1
"9","R_3fZea1FABUB9ChA","Default Response Set","Anonymous",NA,NA,"5b3a1596b4bca2fd",0,"3/22/18 10:09","3/22/18 10:13",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,4.082,0,1,0,0,5.937,0,1,1,1,4,1,3,1,1,5,1,2,5,5,3,4,4,5,5,3,4,4,3.604,3.608,5.56,2,3.23,3.235,4.23,2,6.126,6.13,7.438,2,10.732,10.738,12.05,2,5.622,5.626,6.532,2,4.258,4.262,5.202,2,4.333,4.341,5.162,2,3.924,3.929,4.901,2,3.962,3.968,5.658,2,3.549,3.555,4.732,2,7.462,7.469,8.348,2,5.076,5.082,6.558,2,7.451,7.454,8.88,2,10.886,10.892,12.006,2,5.541,5.547,6.543,2,7.749,7.756,8.421,2,3.031,3.039,4.018,2,3.327,3.332,4.156,2,5.648,5.654,6.549,2,5.893,5.898,7.022,2,5.161,5.167,5.916,2,1,"I just judged the likelihood of the scenario","",1,2,60,1,1,41.9,-72.16,-1
"10","R_2qz4JV7K9R6eClC","Default Response Set","Anonymous",NA,NA,"8b5541f1f0164c7b",0,"3/22/18 10:09","3/22/18 10:14",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,4.231,0,1,0,0,6.663,0,1,1,3,2,1,2,1,2,4,1,1,5,5,3,4,2,5,5,3,5,4,5.115,5.115,6.105,1,5.308,5.308,6.685,1,10.048,10.048,11.244,1,11.419,11.419,13.463,1,11.946,11.946,13.136,1,4.657,4.657,5.896,1,4.489,4.489,5.724,1,5.94,7.078,8.667,2,6.83,6.83,7.838,1,5.48,5.48,6.594,1,9.752,11.274,11.694,2,6.231,6.231,7.498,1,7.807,7.807,8.89,1,9.841,9.841,10.886,1,7.687,7.687,8.716,1,12.248,12.248,13.41,1,6.267,6.267,7.067,1,4.277,4.277,5.291,1,7.246,7.246,8.252,1,5.542,5.542,6.756,1,9.665,9.665,21.371,1,1,"I just thought about what would be more likely according the my knowledge.","no",1,2,36,1,1,43.77,-88.02,-1
"11","R_2DYdjncWP34y0EI","Default Response Set","Anonymous",NA,NA,"0dbc0569d80d146d",0,"3/22/18 10:09","3/22/18 10:14",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,5.401,0,1,0,0,14.229,0,4,3,4,3,1,4,2,3,2,3,3,5,2,3,3,2,3,3,2,4,2,1.389,1.989,2.662,2,0.497,1.012,1.657,2,0.365,0.78,1.476,2,26.58,27.205,27.947,2,0.325,0.9,1.555,2,0.413,0.938,1.803,2,0.351,0.9,1.593,2,0.346,0.908,1.606,2,0.313,1.56,1.844,3,0.438,0.963,1.55,2,1.004,1.82,2.483,2,0.242,0.611,1.231,2,14.584,15.137,15.882,2,0.803,1.435,2.133,2,1.081,2.696,3.1,4,0.614,1.229,1.964,2,0.373,0.918,1.54,2,0.615,1.13,1.742,2,0.334,1.491,1.926,3,3.231,3.904,4.598,2,0.278,1.17,1.8,3,1,"It felt right","no",1,1,27,1,1,33.65,-112.39,-1
"12","R_2wFF0z94QVnvETP","Default Response Set","Anonymous",NA,NA,"163bdff43ba8c71d",0,"3/22/18 10:11","3/22/18 10:14",1,"7ec814c61dce5e60",NA,NA,1,1,1,7.072,7.072,7.184,1,1,6.948,6.948,6.96,1,1,1,1,1,1,1,2,1,5,1,1,5,5,5,5,5,5,5,5,5,5,2.34,2.861,3.338,3,1.655,2.06,2.501,3,2.216,2.902,3.403,3,1.137,4.403,4.418,5,2.12,5.255,5.726,5,1.934,2.779,3.23,4,3.093,3.598,4.081,3,2.279,2.798,3.291,3,1.848,2.231,2.671,3,2.601,3.121,3.594,3,2.175,20.929,21.339,9,2.977,4.96,5.45,4,3.268,4.127,4.57,4,1.879,6.482,6.915,5,1.19,3.234,3.693,4,2.131,2.975,3.445,4,1.744,2.213,2.77,3,2.64,3.245,3.714,3,2.05,3.064,3.48,4,26.156,27.601,27.949,6,1.933,3.695,3.71,5,1,"just tried to go with what seemed more likely, what was heard about more","",1,2,29,1,1,37.63,-77.54,-1
"13","R_2zj2n0dwxQYqpL7","Default Response Set","Anonymous",NA,NA,"c979e605b338886e",0,"3/22/18 10:09","3/22/18 10:15",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,4.135,0,1,0,0,6.289,0,2,1,2,1,1,1,1,1,5,1,1,5,4,4,4,5,5,5,2,4,5,4.523,4.523,5.97,1,4.09,5.14,5.648,2,0.561,0.561,4.88,1,6.364,6.364,7.443,1,11.058,11.058,12.386,1,3.153,3.153,5.346,1,3.919,3.919,5.889,1,38.41,38.41,39.372,1,10.143,10.143,11.198,1,4.182,5.917,7.061,2,0.661,3.303,5.111,2,3.728,3.728,6.793,1,6.36,6.36,7.098,1,8.383,8.383,9.495,1,10.025,10.025,10.942,1,7.585,7.585,8.119,1,2.547,2.547,3.881,1,8.361,8.361,13.199,1,7.488,7.488,8.913,1,4.392,4.392,6.022,1,3.293,3.293,4.018,1,1,"A lot of it was based on the area that the event took place.","no",1,1,43,1,1,39.36,-77.48,-1
"14","R_wN7bEf3weVMa6Gd","Default Response Set","Anonymous",NA,NA,"d5822eeaa9067393",0,"3/22/18 10:12","3/22/18 10:17",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,4.185,0,1,0,0,11.567,0,1,1,2,1,4,1,3,1,5,2,1,5,5,4,1,3,4,5,4,5,5,6.583,7.016,8.066,2,4.508,5.661,5.925,3,2.138,9.594,10.325,6,10.197,16.97,17.61,3,7.907,8.584,9.989,2,1.824,4.428,5.379,4,6.422,7.875,8.71,3,6.814,7.454,8.422,2,2.989,3.581,4.377,2,0.862,4.591,5.29,6,5.464,7.161,7.751,3,5.924,7.708,8.772,2,5.703,6.466,7.19,2,6.335,7.415,8.371,3,5.542,8.1,8.758,4,9.657,10.932,11.973,2,2.561,3.31,3.982,2,2.44,3.844,4.355,2,5.539,6.17,6.866,2,4.864,6.8,7.458,3,1.447,4.431,5.134,3,1,"I thought about more stereotypes of what i have been around and common sense to answer","none",1,2,26,1,1,28.08,-82.52,-1
"15","R_3QXlYc6gdU1t2Ma","Default Response Set","Anonymous",NA,NA,"58a180a4c12fa5a7",0,"3/22/18 10:09","3/22/18 10:18",1,"7ec814c61dce5e60",NA,NA,1,1,1,323.172,323.332,323.726,2,1,0,0,24.936,0,3,3,1,2,2,1,3,1,5,1,2,5,5,3,4,5,5,5,4,4,4,8.282,8.282,8.946,1,2.778,3.454,4.856,2,3.712,3.712,3.96,1,51.164,52.578,52.682,2,5.526,5.526,6.206,1,2.828,2.828,3.636,1,2.424,2.424,3.49,1,14.538,14.538,15.616,1,4.524,4.524,6.138,1,2.514,4.34,4.594,2,5.612,5.612,6.34,1,2.962,2.962,3.84,1,5.636,5.636,6.236,1,2.328,2.328,2.402,1,6.174,6.174,7.542,1,6.342,6.342,6.406,1,2.286,2.58,3.338,2,2.194,2.194,3.322,1,2.626,2.626,2.716,1,4.834,4.834,5.48,1,6.166,6.91,7.324,2,1,"I chose the one that seemed more logical.","",1,1,29,1,1,25.98,-80.34,-1
"16","R_1gu2LpJ2h3yRpma","Default Response Set","Anonymous",NA,NA,"542cb6250ec5196a",0,"3/22/18 10:15","3/22/18 10:19",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,4.065,0,1,0,0,9.236,0,2,1,1,2,1,2,1,1,5,1,1,4,4,3,3,5,5,5,4,5,4,6.193,6.193,7.903,1,3.519,3.519,4.864,1,5.499,5.499,7.263,1,7.023,7.023,8.336,1,7.35,9.115,9.601,2,4.472,4.472,5.981,1,3.645,3.645,4.859,1,2.991,2.991,4.327,1,4.299,4.299,5.279,1,4.708,4.708,6.234,1,5.176,5.176,6.607,1,4.797,4.797,6.089,1,10.355,10.355,12.248,1,8.734,8.734,9.976,1,4.492,4.492,5.37,1,8.852,8.852,9.665,1,4.177,4.177,5.489,1,4.089,4.089,4.882,1,7.69,7.69,8.942,1,5.154,5.154,6.003,1,4.109,4.109,5.587,1,1,"I answered mostly on the location the event took place.","no",1,2,45,1,1,41.58,-93.68,-1
